Date,Price,Close,High,Low,Open,Volume,Returns,MA5,MA10,MA20,MA50,MA200,Price_to_MA5,Price_to_MA10,Price_to_MA20,Price_to_MA50,Price_to_MA200,MA5_cross_MA10,MA10_cross_MA20,MA20_cross_MA50,MA50_cross_MA200,Volatility,PrevClose,TR,ATR14,ATR_Ratio,RSI,EMA12,EMA26,MACD,MACD_Signal,MACD_Hist,MACD_Hist_Positive,MACD_Cross_Signal,BB_Middle,BB_StdDev,BB_Upper,BB_Lower,BB_Width,BB_Position,Volume_Change,Volume_MA10,Relative_Volume,Volume_Price_Trend,OBV,OBV_MA20,OBV_Signal,Body_Size,Upper_Shadow,Lower_Shadow,Is_Bullish,Gap_Up,Gap_Down,Returns_5d,Returns_10d,Returns_20d,Target,Buy_Probability,Buy_Signal
2015-10-16,14.45400047302246,14.45400047302246,14.564800262451172,14.401200294494627,14.5600004196167,17330000,-0.0015335261034102876,14.65324001312256,14.585000038146973,14.52938003540039,14.559583950042725,13.57047399044037,0.9864030385142348,0.9910181991921916,0.9948119216240286,0.9927481803475603,1.0651065307817902,1,1,0,1,0.015472466952062407,14.476200103759766,0.16359996795654475,0.3161856787545338,0.021875305687492935,56.43704976137219,14.561539756291863,14.531727450780771,0.029812305511091708,0.036012306671022336,-0.006200001159930628,0,0,14.52938003540039,0.21690031880865981,14.96318067301771,14.09557939778307,0.05971357849548686,0.41311727572375395,-0.4486159720012727,24071000.0,0.7199534709816792,-56535551.09977716,158590000,121599750.0,1,0.6479215608550465,0.029338898377703752,0.3227395407672498,0,0,0,-0.013957634599330082,-0.0024156150623275696,-0.00929423287705633,0,0.40396573928196916,0
2015-10-19,14.37279987335205,14.37279987335205,14.503399848937988,14.19320011138916,14.468600273132324,35720000,-0.005617863360525277,14.536520004272461,14.566120052337647,14.516830015182496,14.547391948699952,13.574497990608215,0.9887373229031232,0.9867280938032245,0.9900784026760794,0.9879983933915039,1.0588089433064969,0,1,0,1,0.015501858835097988,14.45400047302246,0.3101997375488281,0.3105857031685963,0.021609269307676024,54.29786450035183,14.532502851224198,14.519955037637903,0.012547813586294865,0.03131940805407684,-0.018771594467781975,0,0,14.516830015182496,0.21840586585126312,14.953641746885022,14.08001828347997,0.060180043610855126,0.3351347601527664,1.0611656087709176,25510500.0,1.400207757590012,-59436036.52000415,122870000,122042250.0,1,0.30883456103889717,0.11218441408315605,0.5789810248779468,0,0,0,-0.03902008822080494,-0.012965598668775002,-0.017163828799035996,0,0.40396148927516384,0
2015-10-20,14.112600326538086,14.112600326538086,14.40999984741211,14.112600326538086,14.345000267028809,109735000,-0.01810360883799611,14.357360076904296,14.55088005065918,14.495490026473998,14.531947956085205,13.578291993141175,0.9829523151153715,0.9698795040165809,0.9735855980559045,0.971143054543385,1.0393501873186117,0,1,0,1,0.015950882733165108,14.37279987335205,0.29739952087402344,0.3144428389413014,0.022280999366927887,43.84681488486273,14.46790246281095,14.489780614593473,-0.021878151782523503,0.02067989608675677,-0.042558047869280274,0,0,14.495490026473998,0.23620972534302345,14.967909477160045,14.023070575787951,0.06518157714202674,0.09475663059609388,2.072088465845465,34685500.0,3.163713943867034,-87989033.78963459,13135000,117883500.0,0,0.7814401980464717,0.21855980195352834,0.0,0,0,0,-0.059686551466285986,-0.010683491981547943,-0.029354703166132645,0,0.17732481300747013,0
2015-10-21,13.313400268554688,13.313400268554688,13.31999969482422,12.935999870300291,13.012200355529783,100355000,-0.056630248111011805,14.14580020904541,14.441900062561036,14.429590034484864,14.499951953887939,13.578420996665955,0.9411556837938053,0.9218593267424794,0.9226457741860561,0.9181685781369023,0.9804822130514042,0,1,0,1,0.020040630812553903,14.112600326538086,1.1766004562377947,0.38368572507585785,0.028819513973608716,30.993670757220315,14.290286740617677,14.402641329701712,-0.11235458908403473,-0.0059270009474015305,-0.1064275881366332,0,0,14.429590034484864,0.35184581844056734,15.133281671366,13.725898397603729,0.09753452942175113,-0.2930958017898957,-0.08547865311887726,42787500.0,2.3454279871457784,-168192755.60855854,-87220000,108174500.0,0,0.7843751319374224,0.017186013763716645,0.19843885429886096,1,0,1,-0.07360550045639147,-0.07566373234190893,-0.09008022677417449,0,0.033070129174444046,0
2015-10-22,13.012399673461914,13.012399673461914,13.382200241088867,13.004199981689451,13.32919979095459,40155000,-0.022608844398956163,13.85304012298584,14.273600006103516,14.349040031433105,14.461807956695557,13.574056997299195,0.9393172587344866,0.9116410483618498,0.9068480988942021,0.8997768268273406,0.9586227371854241,0,0,0,1,0.020414458468172057,13.313400268554688,0.37800025939941584,0.38925715855189746,0.029914325437280134,28.235356960117898,14.093688730286022,14.299660466276542,-0.20597173599052,-0.04593594795602522,-0.16003578803449475,0,0,14.349040031433105,0.46978238964847974,15.288604810730066,13.409475252136145,0.13095855572759474,-0.21130825006624213,-0.5998704598674705,44316000.0,0.9061061467641484,-180279434.50450885,-127375000,97471750.0,0,0.838094973786585,0.1402127348232165,0.02169229139019841,0,0,0,-0.10111772563282495,-0.1145256704352271,-0.1101659046654353,0,0.2952036653863245,0
2015-10-23,12.994400024414062,12.994400024414062,13.159799575805664,12.902600288391112,13.159799575805664,34540000,-0.0013832689972289591,13.56112003326416,14.10718002319336,14.268480014801025,14.424255962371825,13.567029995918274,0.9582099408116743,0.9211196003063833,0.9107066773009228,0.900871425071228,0.9577925329510961,0,0,0,1,0.020412608096300855,13.012399673461914,0.25719928741455256,0.3986142703465057,0.030675850335343192,26.52206114303746,13.924567390921105,14.20297450762006,-0.2784071166989559,-0.09243018170461137,-0.18597693499434453,0,0,14.268480014801025,0.5540588226984869,15.376597660197998,13.160362369404051,0.15532385289077702,-0.07488480382898985,-0.13983314655709123,45992000.0,0.7510001739432944,-180901142.38262165,-161915000,86092250.0,0,0.6430793531904752,0.0,0.3569206468095249,0,0,0,-0.10098245474203871,-0.11353061313713597,-0.11031387229921463,0,0.36030190787014,0
2015-10-26,13.19379997253418,13.19379997253418,13.367199897766112,12.918999671936035,12.93280029296875,33600000,0.015345067701893367,13.325320053100587,13.930920028686524,14.220140027999879,14.38879596710205,13.561571993827819,0.9901300621641876,0.9470874820446555,0.9278248981061505,0.9169495489893623,0.972881313356518,0,0,0,1,0.02004535032421977,12.994400024414062,0.44820022583007635,0.4071714537484308,0.030860817550368236,33.471177144552385,13.812141634246194,14.12822083835444,-0.31607920410824697,-0.13715998618533848,-0.1789192179229085,0,0,14.220140027999879,0.603899884848618,15.427939797697114,13.012340258302643,0.16987171255965716,0.07511994901150865,-0.027214823393167387,47184000.0,0.7121057985757884,-174201304.1257857,-128315000,77807000.0,0,0.5823283089205338,0.3868804950082108,0.030791196071255432,1,0,0,-0.0820299392746573,-0.11784921202821785,-0.06827392595800297,0,0.34148200742516266,0
2015-10-27,13.130999565124512,13.130999565124512,13.259599685668944,13.031200408935549,13.193599700927734,19405000,-0.0047598423153603076,13.12899990081787,13.743179988861083,14.168149995803834,14.349803962707519,13.556056990623475,1.0001523089589266,0.9554556933524303,0.9267970461220065,0.9150647353266669,0.968644464552416,0,0,0,1,0.02002444430809026,13.19379997253418,0.22839927673339488,0.40131425857543956,0.030562354113643914,29.902056349614128,13.707350546689012,14.054352595892963,-0.34700204920395095,-0.179128398789061,-0.16787365041488994,0,0,14.168149995803834,0.6512716148010704,15.470693225405974,12.865606766201694,0.183869203811071,0.10187485255436851,-0.4224702380952381,47033500.0,0.41257826868083386,-175419946.03157032,-147720000,67344000.0,0,0.2740820229316852,0.28896757330037165,0.4369504037679431,0,0,0,-0.0695549182079308,-0.12508997646886588,-0.07337628281973663,0,0.3840671580336068,0
2015-10-28,13.097800254821776,13.097800254821776,13.175200462341309,13.049799919128418,13.137800216674805,25360000,-0.0025283155435411597,13.085879898071289,13.61584005355835,14.102790021896363,14.313391971588135,13.550139989852905,1.0009109327644252,0.9619531518658527,0.9287382308384218,0.9150731203910791,0.9666173386127475,0,0,0,1,0.019461365233489757,13.130999565124512,0.12540054321289062,0.38231434140886594,0.029189202306556947,22.512054655428727,13.613573578709437,13.983496866924726,-0.36992328821528986,-0.21728737667430678,-0.15263591154098308,0,0,14.102790021896363,0.69065384180906,15.484097705514483,12.721482338278243,0.19589140609389566,0.13621799147523267,0.3068796701880958,44763000.0,0.5665393293568349,-176261880.54084772,-173080000,54724500.0,0,0.31897758038513263,0.298246281142579,0.3827761384722883,0,0,0,-0.016194211049309737,-0.08860772849692045,-0.09074623411185523,0,0.4039651584273341,0
2015-10-29,12.96399974822998,12.96399974822998,13.096799850463867,12.946200370788574,12.98840045928955,19085000,-0.010215494509663081,13.076199913024903,13.464620018005371,14.026560020446777,14.27455997467041,13.543985986709595,0.9914195128905026,0.9628195768535656,0.9242465529204679,0.9081890980341277,0.9571775813229029,0,0,0,1,0.019341593026290144,13.097800254821776,0.15159988403320135,0.37724290575299946,0.02909926821037664,21.78489142947886,13.513639143251059,13.907978561836225,-0.39433941858516697,-0.25269778505647883,-0.14164163352868814,0,0,14.026560020446777,0.72890782438629,15.484375669219357,12.568744371674196,0.2078650284385474,0.13556425220451326,-0.24743690851735012,43528500.0,0.43844837290510813,-178815463.20915213,-192165000,40363250.0,0,0.16202387360288764,0.7197859608016971,0.11819016559541526,0,0,0,-0.003719523412014647,-0.10446113929697864,-0.10522756183717674,0,0.3714201079495089,0
