DATE,WM1NS,,DATE,MORTGAGE15US,,,DATE,FEDFUNDS,M1_Avg,Mort_Avg
6/5/2000,1108.4,,6/2/2000,8.24,,,6/1/2000,6.53,,
6/12/2000,1092.4,,6/9/2000,8.04,,,7/1/2000,6.54,,
6/19/2000,1100.9,,6/16/2000,7.91,,,8/1/2000,6.5,,
6/26/2000,1098.7,,6/23/2000,7.85,,,9/1/2000,6.52,,
7/3/2000,1132.5,,6/30/2000,7.92,,,10/1/2000,6.51,,
7/10/2000,1107.2,,7/7/2000,7.88,,,11/1/2000,6.51,,
7/17/2000,1091.4,,7/14/2000,7.8,,,12/1/2000,6.4,,
7/24/2000,1092.6,,7/21/2000,7.93,,,1/1/2001,5.98,,
7/31/2000,1105.1,,7/28/2000,7.85,,,2/1/2001,5.49,,
8/7/2000,1087.2,,8/4/2000,7.88,,,3/1/2001,5.31,,
8/14/2000,1083.8,,8/11/2000,7.75,,,4/1/2001,4.8,,
8/21/2000,1095.4,,8/18/2000,7.7,,,5/1/2001,4.21,,
8/28/2000,1103.3,,8/25/2000,7.72,,,6/1/2001,3.97,,
9/4/2000,1104.6,,9/1/2000,7.67,,,7/1/2001,3.77,,
9/11/2000,1084.7,,9/8/2000,7.65,,,8/1/2001,3.65,,
9/18/2000,1084.7,,9/15/2000,7.6,,,9/1/2001,3.07,,
9/25/2000,1081.5,,9/22/2000,7.57,,,10/1/2001,2.49,,
10/2/2000,1103.2,,9/29/2000,7.53,,,11/1/2001,2.09,,
10/9/2000,1079.8,,10/6/2000,7.5,,,12/1/2001,1.82,,
10/16/2000,1085.5,,10/13/2000,7.52,,,1/1/2002,1.73,,
10/23/2000,1091,,10/20/2000,7.5,,,2/1/2002,1.74,,
10/30/2000,1104.7,,10/27/2000,7.36,,,3/1/2002,1.73,,
11/6/2000,1088.3,,11/3/2000,7.41,,,4/1/2002,1.75,,
11/13/2000,1073.7,,11/10/2000,7.44,,,5/1/2002,1.75,,
11/20/2000,1090.8,,11/17/2000,7.41,,,6/1/2002,1.75,,
11/27/2000,1111,,11/24/2000,7.41,,,7/1/2002,1.73,,
12/4/2000,1103,,12/1/2000,7.35,,,8/1/2002,1.74,,
12/11/2000,1083.6,,12/8/2000,7.19,,,9/1/2002,1.75,,
12/18/2000,1099,,12/15/2000,7.11,,,10/1/2002,1.75,,
12/25/2000,1127.5,,12/22/2000,6.84,,,11/1/2002,1.34,,
1/1/2001,1152.3,,12/29/2000,6.79,,,12/1/2002,1.24,,
1/8/2001,1104.3,,1/5/2001,6.74,,,1/1/2003,1.24,,
1/15/2001,1091.4,,1/12/2001,6.49,,,2/1/2003,1.26,,
1/22/2001,1096.7,,1/19/2001,6.63,,,3/1/2003,1.25,,
1/29/2001,1097.3,,1/26/2001,6.7,,,4/1/2003,1.26,,
2/5/2001,1093.9,,2/2/2001,6.66,,,5/1/2003,1.26,,
2/12/2001,1074.6,,2/9/2001,6.6,,,6/1/2003,1.22,,
2/19/2001,1089,,2/16/2001,6.61,,,7/1/2003,1.01,,
2/26/2001,1101,,2/23/2001,6.69,,,8/1/2003,1.03,,
3/5/2001,1108.8,,3/2/2001,6.58,,,9/1/2003,1.01,,
3/12/2001,1093.6,,3/9/2001,6.52,,,10/1/2003,1.01,,
3/19/2001,1108,,3/16/2001,6.54,,,11/1/2003,1,,
