,Beta
MMM,0.7478818103477793
AOS,0.8008986636909501
ABT,0.8207259574744366
ABBV,0.5930045698914856
ACN,1.100301173139495
ADBE,1.2255633111663682
AMD,1.4750925501138568
AES,1.1291787697688216
AFL,1.0321277641805353
A,0.9613661811390878
APD,0.9439828432986389
ABNB,
AKAM,0.6645214651717356
ALB,1.270024927542913
ARE,0.9443227399241017
ALGN,1.5063874608231487
ALLE,1.034203765723782
LNT,0.6811768748067978
ALL,0.8545829878207166
GOOGL,1.1034208837144217
GOOG,1.0940448296889766
MO,0.5999353627538031
AMZN,1.004243384768357
AMCR,0.9160425508287098
AEE,0.734071895104881
AAL,1.376602180128233
AEP,0.6265468297646186
AXP,1.3401752581985247
AIG,1.3090610415028412
AMT,0.9094423602352939
AWK,0.7933411865721633
AMP,1.5839811822672627
AME,1.0619441474603237
AMGN,0.6464021227558174
APH,1.0699094914368963
ADI,1.2419893748436082
ANSS,1.2692130431816249
AON,0.7988931244044846
APA,1.6322581414812534
AAPL,1.197848690330762
AMAT,1.5903486789940235
APTV,1.4814802082855791
ACGL,1.0717891447956036
ADM,0.8221722889638906
ANET,1.143733387705233
AJG,0.8887106041429232
AIZ,0.8541546350063546
T,0.6880433711639717
ATO,0.7044303597374072
ADSK,1.3180061223456758
ADP,1.0376345672163572
AZO,0.7689476761136419
AVB,0.9215677928348922
AVY,1.0291989295357444
AXON,1.1774173556556464
BKR,1.196032007819913
BALL,0.8195361376906171
BAC,1.225858508552698
BK,1.0317391966633465
BBWI,1.470221127423414
BAX,0.6605142280527393
BDX,0.5234740277556519
BRK.B,
BBY,1.145590409109379
BIO,0.8330375283525979
TECH,0.903472846246952
BIIB,0.839742265244842
BLK,1.221791192945954
BX,1.4354149601256143
BA,1.542121141532229
BKNG,1.1541920411975328
BWA,1.01688395939423
BXP,1.049977623395386
BSX,0.9318646042934406
BMY,0.4920685784381102
AVGO,1.2801306372955636
BR,0.8592234181659768
BRO,0.925211677505997
BF.B,
BLDR,1.6032840680418876
BG,0.8163736981141059
CDNS,1.2140970834575837
CZR,2.1565509372745466
CPT,0.8784021361946354
CPB,0.3085349542983653
COF,1.4706839222678239
CAH,0.7785482732368507
KMX,1.2089208442312038
CCL,1.9300308591521778
CARR,
CTLT,1.1438313954511306
CAT,0.9187218602154581
CBOE,0.6858890243781688
CBRE,1.2475431932138084
CDW,1.1782751521461063
CE,1.1991324780026462
COR,0.7579592556352295
CNC,0.8963816574935329
CNP,0.999668430580596
CF,0.998648731592881
CHRW,0.5993139693248183
CRL,1.13224631413676
SCHW,1.0691078292660046
CHTR,0.7692988476982974
CVX,1.074193440980995
CMG,0.990161720505099
CB,0.8952892178245507
CHD,0.45022223798517813
CI,0.9691886896224033
CINF,1.0755731197494232
CTAS,1.1340651939965618
CSCO,0.9319465924331157
C,1.3260654032944275
CFG,1.4015668576638793
CLX,0.2888879925243246
CME,0.8347946341456136
CMS,0.6398134705983022
KO,0.6872317550919104
CTSH,1.1137586785092584
CL,0.5552248193469774
CMCSA,0.8569171338033146
CMA,1.3156500696394418
CAG,0.3653553881240135
COP,1.1983381330314895
ED,0.5639809541901071
STZ,0.8064181547969126
CEG,
COO,0.9207955287342514
CPRT,1.0619558842799373
GLW,1.187808725745067
CPAY,1.1372324033443304
CTVA,0.9143244551267334
CSGP,1.0183731092996067
COST,0.7091800696742456
CTRA,0.7251315440130969
CCI,0.8493063284938007
CSX,1.0448681875397259
CMI,0.8800842902135868
CVS,0.7143823143516256
DHR,0.8404256543135554
DRI,1.3681105220098908
DVA,0.6889765697374924
DAY,1.3968965219203053
DECK,1.2027976631521264
DE,0.9726699863443391
DAL,1.304596963310436
DVN,1.4570957978804822
DXCM,1.0617844063992004
FANG,1.3042331603091175
DLR,0.816881341095362
DFS,1.6137818638079444
DG,0.5544453563469026
DLTR,0.7504892320065297
D,0.7302688645236889
DPZ,0.5258476652945007
DOV,1.0762705051783736
DOW,1.1414769173913313
DHI,1.2034747560878345
DTE,0.8544638829780178
DUK,0.7106871735245968
DD,1.120562749268567
EMN,1.119608686625879
ETN,1.1182094369899331
EBAY,0.8108280870029796
ECL,1.1074150996508598
EIX,0.8402791172556061
EW,0.9556141702546272
EA,0.5809108524609851
ELV,0.9635757981251967
LLY,0.6588779326574107
EMR,1.0787966346204467
ENPH,1.5973643199422256
ETR,0.8402539659290044
EOG,1.097998814180958
EPAM,1.3844909964189964
EQT,0.8419436772227398
EFX,0.9760608783884474
EQIX,0.8800996435714282
EQR,0.9103760519827206
ESS,0.9179186664866946
EL,1.0825581554524113
ETSY,1.3766542797176191
EG,0.9103361420482818
EVRG,0.8385595018102558
ES,0.7370727833366646
EXC,0.9629429062345902
EXPE,1.3397204688719333
EXPD,0.7679928047006134
EXR,0.735317075531966
XOM,0.9112986710532851
FFIV,0.9043423027257758
FDS,0.9333878546835221
FICO,1.3467810941130898
FAST,0.9030947399862218
FRT,1.0693440782157928
FDX,1.0472879155073904
FIS,1.0915238890718846
FITB,1.43140848847054
FSLR,0.9066558577038755
FE,0.8152162081161569
FI,1.0713255903463352
FMC,1.0207076116574658
F,1.2158920543956215
FTNT,1.2343172435154888
FTV,1.0085307496900289
FOXA,0.834871691269982
FOX,0.8570772771304077
BEN,1.1781397619789737
FCX,1.5415913577583589
GRMN,0.9381621003850922
IT,1.0537196826063853
GE,1.1461780918349356
GEHC,
GEV,
GEN,0.5329029069720747
GNRC,1.3815867655006817
GD,0.7979516153876816
GIS,0.35735395323821123
GM,1.286036562409998
GPC,0.9853166192352841
GILD,0.47579736206083817
GPN,1.2984546498390275
GL,1.0883632195183097
GS,1.151138799741078
HAL,1.5012353224705146
HIG,1.0230784621511335
