Stock,Sector
GOOGL,XLC
GOOG,XLC
T,XLC
CHTR,XLC
CMCSA,XLC
EA,XLC
FOXA,XLC
FOX,XLC
IPG,XLC
LYV,XLC
MTCH,XLC
META,XLC
NFLX,XLC
NWSA,XLC
NWS,XLC
OMC,XLC
PARA,XLC
TMUS,XLC
TTWO,XLC
VZ,XLC
DIS,XLC
WBD,XLC
ABNB,XLY
AMZN,XLY
APTV,XLY
AZO,XLY
BBWI,XLY
BBY,XLY
BKNG,XLY
BWA,XLY
CZR,XLY
KMX,XLY
CCL,XLY
CMG,XLY
DRI,XLY
DECK,XLY
DPZ,XLY
DHI,XLY
EBAY,XLY
ETSY,XLY
EXPE,XLY
F,XLY
GRMN,XLY
GM,XLY
GPC,XLY
HAS,XLY
HLT,XLY
HD,XLY
LVS,XLY
LEN,XLY
LKQ,XLY
LOW,XLY
LULU,XLY
MAR,XLY
MCD,XLY
MGM,XLY
MHK,XLY
NKE,XLY
NCLH,XLY
NVR,XLY
ORLY,XLY
POOL,XLY
PHM,XLY
RL,XLY
ROST,XLY
RCL,XLY
SBUX,XLY
TPR,XLY
TSLA,XLY
TJX,XLY
TSCO,XLY
ULTA,XLY
WYNN,XLY
YUM,XLY
MO,XLP
ADM,XLP
BF-B,XLP
BG,XLP
CPB,XLP
CHD,XLP
CLX,XLP
KO,XLP
CL,XLP
CAG,XLP
STZ,XLP
COST,XLP
DG,XLP
DLTR,XLP
EL,XLP
GIS,XLP
HSY,XLP
HRL,XLP
K,XLP
KVUE,XLP
KDP,XLP
KMB,XLP
KHC,XLP
KR,XLP
LW,XLP
MKC,XLP
TAP,XLP
MDLZ,XLP
MNST,XLP
PEP,XLP
PM,XLP
PG,XLP
SJM,XLP
SYY,XLP
TGT,XLP
TSN,XLP
WBA,XLP
WMT,XLP
APA,XLE
BKR,XLE
CVX,XLE
COP,XLE
CTRA,XLE
DVN,XLE
FANG,XLE
EOG,XLE
EQT,XLE
XOM,XLE
HAL,XLE
HES,XLE
KMI,XLE
MRO,XLE
MPC,XLE
OXY,XLE
OKE,XLE
PSX,XLE
SLB,XLE
TRGP,XLE
VLO,XLE
WMB,XLE
AFL,XLF
ALL,XLF
AXP,XLF
AIG,XLF
AMP,XLF
AON,XLF
ACGL,XLF
AJG,XLF
AIZ,XLF
BAC,XLF
BK,XLF
BRK-B,XLF
BLK,XLF
BX,XLF
BRO,XLF
COF,XLF
CBOE,XLF
SCHW,XLF
CB,XLF
CINF,XLF
C,XLF
CFG,XLF
CME,XLF
CPAY,XLF
DFS,XLF
EG,XLF
FDS,XLF
FIS,XLF
FITB,XLF
FI,XLF
BEN,XLF
GPN,XLF
GL,XLF
GS,XLF
HIG,XLF
HBAN,XLF
ICE,XLF
IVZ,XLF
JKHY,XLF
JPM,XLF
KEY,XLF
KKR,XLF
L,XLF
MTB,XLF
MKTX,XLF
MMC,XLF
MA,XLF
MET,XLF
MCO,XLF
MS,XLF
MSCI,XLF
NDAQ,XLF
NTRS,XLF
PYPL,XLF
PNC,XLF
PFG,XLF
PGR,XLF
PRU,XLF
RJF,XLF
RF,XLF
SPGI,XLF
STT,XLF
SYF,XLF
TROW,XLF
TRV,XLF
TFC,XLF
USB,XLF
V,XLF
WRB,XLF
WFC,XLF
WTW,XLF
ABT,XLV
ABBV,XLV
A,XLV
ALGN,XLV
AMGN,XLV
BAX,XLV
BDX,XLV
BIO,XLV
TECH,XLV
BIIB,XLV
BSX,XLV
BMY,XLV
CAH,XLV
CTLT,XLV
COR,XLV
CNC,XLV
CRL,XLV
CI,XLV
COO,XLV
CVS,XLV
DHR,XLV
DVA,XLV
DXCM,XLV
EW,XLV
ELV,XLV
GEHC,XLV
GILD,XLV
HCA,XLV
HSIC,XLV
HOLX,XLV
HUM,XLV
IDXX,XLV
INCY,XLV
PODD,XLV
ISRG,XLV
IQV,XLV
JNJ,XLV
LH,XLV
LLY,XLV
MCK,XLV
MDT,XLV
MRK,XLV
MTD,XLV
MRNA,XLV
MOH,XLV
PFE,XLV
DGX,XLV
REGN,XLV
RMD,XLV
RVTY,XLV
SOLV,XLV
STE,XLV
SYK,XLV
TFX,XLV
TMO,XLV
UNH,XLV
UHS,XLV
VRTX,XLV
VTRS,XLV
WAT,XLV
WST,XLV
ZBH,XLV
ZTS,XLV
MMM,XLI
AOS,XLI
ALLE,XLI
AAL,XLI
AME,XLI
ADP,XLI
AXON,XLI
BA,XLI
BR,XLI
BLDR,XLI
CARR,XLI
CAT,XLI
CHRW,XLI
CTAS,XLI
CPRT,XLI
CSX,XLI
CMI,XLI
DAY,XLI
DE,XLI
DAL,XLI
DOV,XLI
ETN,XLI
EMR,XLI
EFX,XLI
EXPD,XLI
FAST,XLI
FDX,XLI
FTV,XLI
GE,XLI
GEV,XLI
GNRC,XLI
GD,XLI
HON,XLI
HWM,XLI
HUBB,XLI
HII,XLI
IEX,XLI
ITW,XLI
IR,XLI
JBHT,XLI
J,XLI
JCI,XLI
LHX,XLI
LDOS,XLI
LMT,XLI
MAS,XLI
NDSN,XLI
NSC,XLI
NOC,XLI
ODFL,XLI
OTIS,XLI
PCAR,XLI
PH,XLI
PAYX,XLI
PAYC,XLI
PNR,XLI
PWR,XLI
RTX,XLI
RSG,XLI
ROK,XLI
ROL,XLI
SNA,XLI
LUV,XLI
SWK,XLI
TXT,XLI
TT,XLI
TDG,XLI
UBER,XLI
UNP,XLI
UAL,XLI
UPS,XLI
URI,XLI
VLTO,XLI
VRSK,XLI
GWW,XLI
WAB,XLI
WM,XLI
XYL,XLI
ACN,XLK
ADBE,XLK
AMD,XLK
AKAM,XLK
APH,XLK
ADI,XLK
ANSS,XLK
AAPL,XLK
AMAT,XLK
ANET,XLK
ADSK,XLK
AVGO,XLK
CDNS,XLK
CDW,XLK
CSCO,XLK
CTSH,XLK
GLW,XLK
CRWD,XLK
ENPH,XLK
EPAM,XLK
FFIV,XLK
FICO,XLK
FSLR,XLK
FTNT,XLK
IT,XLK
GEN,XLK
GDDY,XLK
HPE,XLK
HPQ,XLK
IBM,XLK
INTC,XLK
INTU,XLK
JBL,XLK
JNPR,XLK
KEYS,XLK
KLAC,XLK
LRCX,XLK
MCHP,XLK
MU,XLK
MSFT,XLK
MPWR,XLK
MSI,XLK
NTAP,XLK
NVDA,XLK
NXPI,XLK
ON,XLK
ORCL,XLK
PANW,XLK
PTC,XLK
QRVO,XLK
QCOM,XLK
ROP,XLK
CRM,XLK
STX,XLK
NOW,XLK
SWKS,XLK
SMCI,XLK
SNPS,XLK
TEL,XLK
TDY,XLK
TER,XLK
TXN,XLK
TRMB,XLK
TYL,XLK
VRSN,XLK
WDC,XLK
ZBRA,XLK
APD,XLB
ALB,XLB
AMCR,XLB
AVY,XLB
BALL,XLB
CE,XLB
CF,XLB
CTVA,XLB
DOW,XLB
DD,XLB
EMN,XLB
ECL,XLB
FMC,XLB
FCX,XLB
IFF,XLB
IP,XLB
LIN,XLB
LYB,XLB
MLM,XLB
MOS,XLB
NEM,XLB
NUE,XLB
PKG,XLB
PPG,XLB
SHW,XLB
SW,XLB
STLD,XLB
VMC,XLB
ARE,XLRE
AMT,XLRE
AVB,XLRE
BXP,XLRE
CPT,XLRE
CBRE,XLRE
CSGP,XLRE
CCI,XLRE
DLR,XLRE
EQIX,XLRE
EQR,XLRE
ESS,XLRE
EXR,XLRE
FRT,XLRE
DOC,XLRE
HST,XLRE
INVH,XLRE
IRM,XLRE
KIM,XLRE
MAA,XLRE
PLD,XLRE
PSA,XLRE
O,XLRE
REG,XLRE
SBAC,XLRE
SPG,XLRE
UDR,XLRE
VTR,XLRE
VICI,XLRE
WELL,XLRE
WY,XLRE
AES,XLU
LNT,XLU
AEE,XLU
AEP,XLU
AWK,XLU
ATO,XLU
CNP,XLU
CMS,XLU
ED,XLU
CEG,XLU
D,XLU
DTE,XLU
DUK,XLU
EIX,XLU
ETR,XLU
EVRG,XLU
ES,XLU
EXC,XLU
FE,XLU
NEE,XLU
NI,XLU
NRG,XLU
PCG,XLU
PNW,XLU
PPL,XLU
PEG,XLU
SRE,XLU
SO,XLU
VST,XLU
WEC,XLU
XEL,XLU
