contractID,symbol,expiration,strike,type,last,mark,bid,bid_size,ask,ask_size,volume,open_interest,date,implied_volatility,delta,gamma,theta,vega,rho
EBAY241025C00030000,EBAY,2024-10-25,30.00,call,35.81,33.05,31.35,50,34.75,50,0,1,2024-10-25,4.20963,1.00000,0.00000,-0.01449,0.00000,0.00082
EBAY241025P00030000,EBAY,2024-10-25,30.00,put,0.00,0.01,0.00,0,0.52,3,0,0,2024-10-25,5.14166,-0.00188,0.00035,-0.18561,0.00020,-0.00000
EBAY241025C00035000,EBAY,2024-10-25,35.00,call,0.00,28.20,26.65,50,29.75,50,0,0,2024-10-25,5.45918,0.98630,0.00194,-1.16867,0.00116,0.00093
EBAY241025P00035000,EBAY,2024-10-25,35.00,put,0.00,0.01,0.00,0,0.52,4,0,0,2024-10-25,4.13802,-0.00233,0.00053,-0.18137,0.00024,-0.00000
EBAY241025C00040000,EBAY,2024-10-25,40.00,call,0.00,23.02,22.35,50,23.70,51,0,0,2024-10-25,2.93784,1.00000,0.00000,-0.01932,0.00000,0.00110
EBAY241025P00040000,EBAY,2024-10-25,40.00,put,0.00,0.01,0.00,0,0.52,3,0,0,2024-10-25,3.26274,-0.00293,0.00083,-0.17613,0.00030,-0.00001
EBAY241025C00045000,EBAY,2024-10-25,45.00,call,20.00,17.85,17.50,51,18.20,5,0,1,2024-10-25,2.30194,1.00000,0.00000,-0.02173,0.00000,0.00123
EBAY241025P00045000,EBAY,2024-10-25,45.00,put,0.00,0.01,0.00,0,0.52,3,0,0,2024-10-25,2.48166,-0.00381,0.00138,-0.16952,0.00037,-0.00001
EBAY241025C00047000,EBAY,2024-10-25,47.00,call,18.00,16.10,15.45,51,16.75,51,0,1,2024-10-25,2.04758,1.00000,0.00000,-0.02270,0.00000,0.00129
EBAY241025P00047000,EBAY,2024-10-25,47.00,put,0.00,0.01,0.00,0,0.52,3,0,0,2024-10-25,2.18990,-0.00429,0.00174,-0.16635,0.00042,-0.00001
EBAY241025C00048000,EBAY,2024-10-25,48.00,call,15.10,14.30,13.40,53,15.20,5,1,0,2024-10-25,1.92040,1.00000,0.00000,-0.02318,0.00000,0.00131
EBAY241025P00048000,EBAY,2024-10-25,48.00,put,0.00,0.01,0.00,0,0.52,3,0,0,2024-10-25,2.04768,-0.00457,0.00197,-0.16457,0.00044,-0.00001
EBAY241025C00049000,EBAY,2024-10-25,49.00,call,14.55,13.98,13.40,51,14.55,51,0,1,2024-10-25,1.79323,1.00000,0.00000,-0.02366,0.00000,0.00134
EBAY241025P00049000,EBAY,2024-10-25,49.00,put,0.00,0.01,0.00,0,0.52,3,0,0,2024-10-25,1.90774,-0.00488,0.00225,-0.16269,0.00047,-0.00001
EBAY241025C00050000,EBAY,2024-10-25,50.00,call,13.55,13.05,12.65,50,13.45,50,0,2,2024-10-25,1.66605,1.00000,0.00000,-0.02415,0.00000,0.00137
EBAY241025P00050000,EBAY,2024-10-25,50.00,put,0.00,0.01,0.00,0,0.52,3,0,0,2024-10-25,1.76994,-0.00524,0.00258,-0.16070,0.00050,-0.00001
