Stock,Sector
GOOGL,^SP500-50
META,^SP500-51
NFLX,^SP500-52
TMUS,^SP500-53
DIS,^SP500-54
VZ,^SP500-55
CMCSA,^SP500-56
TMUS,^SP500-57
SPOT,^SP500-58
NTES,^SP500-59
AMZ,^SP500-2550
TSLA,^SP500-2550
HD,^SP500-2550
TM,^SP500-2550
PDD,^SP500-2550
MCD,^SP500-2550
BABA,^SP500-2550
BKNG,^SP500-2550
TJX,^SP500-2550
LOW,^SP500-2550
WMT,^SP500-3010
COST,^SP500-3010
PG,^SP500-3010
KO,^SP500-3010
PEP,^SP500-3010
PM,^SP500-3010
UL,^SP500-3010
BUD,^SP500-3010
MDLZ,^SP500-3010
MO,^SP500-3010
XOM,^GSPE
CVX,^GSPE
SHEL,^GSPE
COP,^GSPE
PBR.A,^GSPE
BP,^GSPE
PBR,^GSPE
EQNR,^GSPE
CNQ,^GSPE
BRK.B,^SP500-40
JPM,^SP500-40
V,^SP500-40
MA,^SP500-40
BAC,^SP500-40
WFC,^SP500-40
AXP,^SP500-40
MS,^SP500-40
HSBC,^SP500-40
RY,^SP500-40
GS,^SP500-40
LLY,^SP500-35
NVO,^SP500-35
UNH,^SP500-35
JNJ,^SP500-35
MRK,^SP500-35
ABBV,^SP500-35
AZN,^SP500-35
NVS,^SP500-35
TMO,^SP500-35
DHR,^SP500-35
GE,^SP500-20
CAT,^SP500-20
HON,^SP500-20
UNP,^SP500-20
RTX,^SP500-20
ETN,^SP500-20
UPS,^SP500-20
BA,^SP500-20
LMT,^SP500-20
DE,^SP500-20
LIN,^SP500-15
BHP,^SP500-15
RIO,^SP500-15
SCCO,^SP500-15
SHW,^SP500-15
FCX,^SP500-15
ECL,^SP500-15
APD,^SP500-15
CRH,^SP500-15
NEM,^SP500-15
PLD,^SP500-60
AMT,^SP500-60
EQIX,^SP500-60
WELL,^SP500-60
PSA,^SP500-60
DLR,^SP500-60
SPG,^SP500-60
O,^SP500-60
CCI,^SP500-60
EXR,^SP500-60
APPL,^SP500-45
MSFT,^SP500-45
NVDA,^SP500-45
TSM,^SP500-45
AVGO,^SP500-45
ASML,^SP500-45
ORCL,^SP500-45
AMD,^SP500-45
ADBE,^SP500-45
CRM,^SP500-45
NEE,^SP500-55
SO,^SP500-55
DUK,^SP500-55
CEG,^SP500-55
NGG,^SP500-55
SRE,^SP500-55
GEV,^SP500-55
AEP,^SP500-55
D ,^SP500-55
PEG,^SP500-55
