Stock,Sector,,,
GOOGL,^SP500-50,,,
GOOG,^SP500-50,,,
T,^SP500-50,,,
CHTR,^SP500-50,,,
CMCSA,^SP500-50,,,
EA,^SP500-50,,,
FOXA,^SP500-50,,,
FOX,^SP500-50,,,
IPG,^SP500-50,,,
LYV,^SP500-50,,,
MTCH,^SP500-50,,,
META,^SP500-50,,,
NFLX,^SP500-50,,,
NWSA,^SP500-50,,,
NWS,^SP500-50,,,
OMC,^SP500-50,,,
PARA,^SP500-50,,,
TMUS,^SP500-50,,,
TTWO,^SP500-50,,,
VZ,^SP500-50,,,
DIS,^SP500-50,,,
WBD,^SP500-50,,,
ABNB,^SP500-2550,,,
AMZN,^SP500-2550,,,
APTV,^SP500-2550,,,
AZO,^SP500-2550,,,
BBWI,^SP500-2550,,,
BBY,^SP500-2550,,,
BKNG,^SP500-2550,,,
BWA,^SP500-2550,,,
CZR,^SP500-2550,,,
KMX,^SP500-2550,,,
CCL,^SP500-2550,,,
CMG,^SP500-2550,,,
DRI,^SP500-2550,,,
DECK,^SP500-2550,,,
DPZ,^SP500-2550,,,
DHI,^SP500-2550,,,
EBAY,^SP500-2550,,,
ETSY,^SP500-2550,,,
EXPE,^SP500-2550,,,
F,^SP500-2550,,,
GRMN,^SP500-2550,,,
GM,^SP500-2550,,,
GPC,^SP500-2550,,,
HAS,^SP500-2550,,,
HLT,^SP500-2550,,,
HD,^SP500-2550,,,
LVS,^SP500-2550,,,
LEN,^SP500-2550,,,
LKQ,^SP500-2550,,,
LOW,^SP500-2550,,,
LULU,^SP500-2550,,,
MAR,^SP500-2550,,,
MCD,^SP500-2550,,,
MGM,^SP500-2550,,,
MHK,^SP500-2550,,,
NKE,^SP500-2550,,,
NCLH,^SP500-2550,,,
NVR,^SP500-2550,,,
ORLY,^SP500-2550,,,
POOL,^SP500-2550,,,
PHM,^SP500-2550,,,
RL,^SP500-2550,,,
ROST,^SP500-2550,,,
RCL,^SP500-2550,,,
SBUX,^SP500-2550,,,
TPR,^SP500-2550,,,
TSLA,^SP500-2550,,,
TJX,^SP500-2550,,,
TSCO,^SP500-2550,,,
ULTA,^SP500-2550,,,
WYNN,^SP500-2550,,,
YUM,^SP500-2550,,,
MO,^SP500-3010,,,
ADM,^SP500-3010,,,
BF-B,^SP500-3010,,,
BG,^SP500-3010,,,
CPB,^SP500-3010,,,
CHD,^SP500-3010,,,
CLX,^SP500-3010,,,
KO,^SP500-3010,,,
CL,^SP500-3010,,,
CAG,^SP500-3010,,,
STZ,^SP500-3010,,,
COST,^SP500-3010,,,
DG,^SP500-3010,,,
DLTR,^SP500-3010,,,
EL,^SP500-3010,,,
GIS,^SP500-3010,,,
HSY,^SP500-3010,,,
HRL,^SP500-3010,,,
K,^SP500-3010,,,
KVUE,^SP500-3010,,,
KDP,^SP500-3010,,,
KMB,^SP500-3010,,,
KHC,^SP500-3010,,,
KR,^SP500-3010,,,
LW,^SP500-3010,,,
MKC,^SP500-3010,,,
TAP,^SP500-3010,,,
MDLZ,^SP500-3010,,,
MNST,^SP500-3010,,,
PEP,^SP500-3010,,,
PM,^SP500-3010,,,
PG,^SP500-3010,,,
SJM,^SP500-3010,,,
SYY,^SP500-3010,,,
TGT,^SP500-3010,,,
TSN,^SP500-3010,,,
WBA,^SP500-3010,,,
WMT,^SP500-3010,,,
APA,^GSPE,,,
BKR,^GSPE,,,
CVX,^GSPE,,,
COP,^GSPE,,,
CTRA,^GSPE,,,
DVN,^GSPE,,,
FANG,^GSPE,,,
EOG,^GSPE,,,
EQT,^GSPE,,,
XOM,^GSPE,,,
HAL,^GSPE,,,
HES,^GSPE,,,
KMI,^GSPE,,,
MRO,^GSPE,,,
MPC,^GSPE,,,
OXY,^GSPE,,,
OKE,^GSPE,,,
PSX,^GSPE,,,
SLB,^GSPE,,,
TRGP,^GSPE,,,
VLO,^GSPE,,,
WMB,^GSPE,,,
AFL,^SP500-40,,,
ALL,^SP500-40,,,
AXP,^SP500-40,,,
AIG,^SP500-40,,,
AMP,^SP500-40,,,
AON,^SP500-40,,,
ACGL,^SP500-40,,,
AJG,^SP500-40,,,
AIZ,^SP500-40,,,
BAC,^SP500-40,,,
BK,^SP500-40,,,
BRK-B,^SP500-40,,,
BLK,^SP500-40,,,
BX,^SP500-40,,,
BRO,^SP500-40,,,
COF,^SP500-40,,,
CBOE,^SP500-40,,,
SCHW,^SP500-40,,,
CB,^SP500-40,,,
CINF,^SP500-40,,,
C,^SP500-40,,,
CFG,^SP500-40,,,
CME,^SP500-40,,,
CPAY,^SP500-40,,,
DFS,^SP500-40,,,
EG,^SP500-40,,,
FDS,^SP500-40,,,
FIS,^SP500-40,,,
FITB,^SP500-40,,,
FI,^SP500-40,,,
BEN,^SP500-40,,,
GPN,^SP500-40,,,
GL,^SP500-40,,,
GS,^SP500-40,,,
HIG,^SP500-40,,,
HBAN,^SP500-40,,,
ICE,^SP500-40,,,
IVZ,^SP500-40,,,
JKHY,^SP500-40,,,
JPM,^SP500-40,,,
KEY,^SP500-40,,,
KKR,^SP500-40,,,
L,^SP500-40,,,
MTB,^SP500-40,,,
MKTX,^SP500-40,,,
MMC,^SP500-40,,,
MA,^SP500-40,,,
MET,^SP500-40,,,
MCO,^SP500-40,,,
MS,^SP500-40,,,
MSCI,^SP500-40,,,
NDAQ,^SP500-40,,,
NTRS,^SP500-40,,,
PYPL,^SP500-40,,,
PNC,^SP500-40,,,
PFG,^SP500-40,,,
PGR,^SP500-40,,,
PRU,^SP500-40,,,
RJF,^SP500-40,,,
RF,^SP500-40,,,
SPGI,^SP500-40,,,
STT,^SP500-40,,,
SYF,^SP500-40,,,
TROW,^SP500-40,,,
TRV,^SP500-40,,,
TFC,^SP500-40,,,
USB,^SP500-40,,,
V,^SP500-40,,,
WRB,^SP500-40,,,
WFC,^SP500-40,,,
WTW,^SP500-40,,,
ABT,^SP500-35,,,
ABBV,^SP500-35,,,
A,^SP500-35,,,
ALGN,^SP500-35,,,
AMGN,^SP500-35,,,
BAX,^SP500-35,,,
BDX,^SP500-35,,,
BIO,^SP500-35,,,
TECH,^SP500-35,,,
BIIB,^SP500-35,,,
BSX,^SP500-35,,,
BMY,^SP500-35,,,
CAH,^SP500-35,,,
CTLT,^SP500-35,,,
COR,^SP500-35,,,
CNC,^SP500-35,,,
CRL,^SP500-35,,,
CI,^SP500-35,,,
COO,^SP500-35,,,
CVS,^SP500-35,,,
DHR,^SP500-35,,,
DVA,^SP500-35,,,
DXCM,^SP500-35,,,
EW,^SP500-35,,,
ELV,^SP500-35,,,
GEHC,^SP500-35,,,
GILD,^SP500-35,,,
HCA,^SP500-35,,,
HSIC,^SP500-35,,,
HOLX,^SP500-35,,,
HUM,^SP500-35,,,
IDXX,^SP500-35,,,
INCY,^SP500-35,,,
PODD,^SP500-35,,,
ISRG,^SP500-35,,,
IQV,^SP500-35,,,
JNJ,^SP500-35,,,
LH,^SP500-35,,,
LLY,^SP500-35,,,
MCK,^SP500-35,,,
MDT,^SP500-35,,,
MRK,^SP500-35,,,
MTD,^SP500-35,,,
MRNA,^SP500-35,,,
MOH,^SP500-35,,,
PFE,^SP500-35,,,
DGX,^SP500-35,,,
REGN,^SP500-35,,,
RMD,^SP500-35,,,
RVTY,^SP500-35,,,
SOLV,^SP500-35,,,
STE,^SP500-35,,,
SYK,^SP500-35,,,
TFX,^SP500-35,,,
TMO,^SP500-35,,,
UNH,^SP500-35,,,
UHS,^SP500-35,,,
VRTX,^SP500-35,,,
VTRS,^SP500-35,,,
WAT,^SP500-35,,,
WST,^SP500-35,,,
ZBH,^SP500-35,,,
ZTS,^SP500-35,,,
MMM,^SP500-20,,,
AOS,^SP500-20,,,
ALLE,^SP500-20,,,
AAL,^SP500-20,,,
AME,^SP500-20,,,
ADP,^SP500-20,,,
AXON,^SP500-20,,,
BA,^SP500-20,,,
BR,^SP500-20,,,
BLDR,^SP500-20,,,
CARR,^SP500-20,,,
CAT,^SP500-20,,,
CHRW,^SP500-20,,,
CTAS,^SP500-20,,,
CPRT,^SP500-20,,,
CSX,^SP500-20,,,
CMI,^SP500-20,,,
DAY,^SP500-20,,,
DE,^SP500-20,,,
DAL,^SP500-20,,,
DOV,^SP500-20,,,
ETN,^SP500-20,,,
EMR,^SP500-20,,,
EFX,^SP500-20,,,
EXPD,^SP500-20,,,
FAST,^SP500-20,,,
FDX,^SP500-20,,,
FTV,^SP500-20,,,
GE,^SP500-20,,,
GEV,^SP500-20,,,
GNRC,^SP500-20,,,
GD,^SP500-20,,,
HON,^SP500-20,,,
HWM,^SP500-20,,,
HUBB,^SP500-20,,,
HII,^SP500-20,,,
IEX,^SP500-20,,,
ITW,^SP500-20,,,
IR,^SP500-20,,,
JBHT,^SP500-20,,,
J,^SP500-20,,,
JCI,^SP500-20,,,
LHX,^SP500-20,,,
LDOS,^SP500-20,,,
LMT,^SP500-20,,,
MAS,^SP500-20,,,
NDSN,^SP500-20,,,
NSC,^SP500-20,,,
NOC,^SP500-20,,,
ODFL,^SP500-20,,,
OTIS,^SP500-20,,,
PCAR,^SP500-20,,,
PH,^SP500-20,,,
PAYX,^SP500-20,,,
PAYC,^SP500-20,,,
PNR,^SP500-20,,,
PWR,^SP500-20,,,
RTX,^SP500-20,,,
RSG,^SP500-20,,,
ROK,^SP500-20,,,
ROL,^SP500-20,,,
SNA,^SP500-20,,,
LUV,^SP500-20,,,
SWK,^SP500-20,,,
TXT,^SP500-20,,,
TT,^SP500-20,,,
TDG,^SP500-20,,,
UBER,^SP500-20,,,
UNP,^SP500-20,,,
UAL,^SP500-20,,,
UPS,^SP500-20,,,
URI,^SP500-20,,,
VLTO,^SP500-20,,,
VRSK,^SP500-20,,,
GWW,^SP500-20,,,
WAB,^SP500-20,,,
WM,^SP500-20,,,
XYL,^SP500-20,,,
ACN,^SP500-45,,,
ADBE,^SP500-45,,,
AMD,^SP500-45,,,
AKAM,^SP500-45,,,
