contractID,symbol,expiration,strike,type,last,mark,bid,bid_size,ask,ask_size,volume,open_interest,date,implied_volatility,delta,gamma,theta,vega,rho,portfolio_price,portfolio_quantity,portfolio_strike,portfolio_expiration_days,portfolio_volatility,portfolio_current_price
EBAY241122C00070000,EBAY,2024-11-22,70.00,call,0.69,1.15,0.39,19,1.91,51,0,1,2024-10-25,0.48003,0.24630,0.03758,-0.17934,0.05510,0.01104,4.88409921217843,100,70.0,30,1.0057184784834805,63.099998474121094
EBAY241129C00070000,EBAY,2024-11-29,70.00,call,0.58,0.55,0.46,31,0.64,10,1,11,2024-10-25,0.32074,0.17142,0.04059,-0.08810,0.04971,0.00984,4.88409921217843,100,70.0,30,1.0057184784834805,63.099998474121094
ACN241122C00400000,ACN,2024-11-22,400.00,call,0.85,0.90,0.10,50,1.70,79,0,4,2024-10-25,0.25077,0.08122,0.00600,-0.25934,0.15027,0.02179,29.383084649797652,100,400.0,30,1.0415372530514726,360.79998779296875
ACN241129C00400000,ACN,2024-11-29,400.00,call,0.75,0.38,0.20,53,0.55,20,0,71,2024-10-25,0.18507,0.04549,0.00462,-0.11084,0.10683,0.01538,29.383084649797652,100,400.0,30,1.0415372530514726,360.79998779296875
CMG241122C00070000,CMG,2024-11-22,70.00,call,0.40,0.35,0.30,575,0.40,30,2,62,2024-10-25,0.44055,0.10587,0.02522,-0.08934,0.03011,0.00456,4.503402262120076,100,70.0,30,0.9911459770800145,59.439998626708984
CMG241129C00070000,CMG,2024-11-29,70.00,call,0.38,0.42,0.35,22,0.50,104,0,72,2024-10-25,0.41235,0.11889,0.02618,-0.08186,0.03658,0.00637,4.503402262120076,100,70.0,30,0.9911459770800145,59.439998626708984
FIS241122C00100000,FIS,2024-11-22,100.00,call,0.00,0.38,0.30,12,0.45,14,0,0,2024-10-25,0.29818,0.10985,0.02535,-0.09530,0.04668,0.00727,5.44539069974617,100,100.0,30,0.8560646211387948,89.72000122070312
FIS241129C00100000,FIS,2024-11-29,100.00,call,0.00,0.42,0.35,12,0.50,12,0,0,2024-10-25,0.27257,0.11739,0.02601,-0.08266,0.05472,0.00970,5.44539069974617,100,100.0,30,0.8560646211387948,89.72000122070312
HD241122C00440000,HD,2024-11-22,440.00,call,1.28,1.19,1.02,41,1.35,42,0,53,2024-10-25,0.25199,0.09397,0.00602,-0.32178,0.18524,0.02784,30.990442239739565,100,440.0,30,1.0082535444717717,398.9100036621094
HD241129C00440000,HD,2024-11-29,440.00,call,1.61,1.52,1.29,31,1.76,51,2,666,2024-10-25,0.23873,0.10999,0.00638,-0.30958,0.23226,0.04062,30.990442239739565,100,440.0,30,1.0082535444717717,398.9100036621094
MAR241122C00290000,MAR,2024-11-22,290.00,call,0.85,1.52,0.30,7,2.75,19,0,24,2024-10-25,0.31037,0.13791,0.00978,-0.34029,0.15995,0.02657,15.205229595591817,100,290.0,30,0.8317464261552945,262.1199951171875
MAR241129C00290000,MAR,2024-11-29,290.00,call,0.00,1.67,0.55,20,2.80,14,0,0,2024-10-25,0.28400,0.14624,0.00994,-0.29324,0.18606,0.03516,15.205229595591817,100,290.0,30,0.8317464261552945,262.1199951171875
AMD241122C00180000,AMD,2024-11-22,180.00,call,2.38,2.38,2.35,16,2.42,42,205,1154,2024-10-25,0.53750,0.19710,0.01193,-0.43441,0.12008,0.02180,24.57146198652068,100,180.0,30,1.7065867759554258,156.22999572753906
AMD241129C00180000,AMD,2024-11-29,180.00,call,2.73,2.74,2.71,31,2.77,46,267,812,2024-10-25,0.50503,0.21249,0.01188,-0.38443,0.14040,0.02921,24.57146198652068,100,180.0,30,1.7065867759554258,156.22999572753906
AXP241122C00300000,AXP,2024-11-22,300.00,call,0.48,0.52,0.45,15,0.59,11,29,61,2024-10-25,0.25855,0.06407,0.00655,-0.16447,0.09284,0.01274,10.532274631155943,100,300.0,30,0.6596093687013124,267.3500061035156
AXP241129C00300000,AXP,2024-11-29,300.00,call,0.76,0.76,0.70,1,0.82,30,15,57,2024-10-25,0.25062,0.08284,0.00736,-0.17546,0.12636,0.02051,10.532274631155943,100,300.0,30,0.6596093687013124,267.3500061035156
GM241122C00060000,GM,2024-11-22,60.00,call,0.19,0.16,0.14,5,0.18,38,33,43,2024-10-25,0.33705,0.07605,0.02943,-0.04716,0.02063,0.00292,5.490987665721573,100,60.0,30,1.2531155537736693,52.06999969482422
GM241129C00060000,GM,2024-11-29,60.00,call,0.19,0.23,0.17,10,0.29,1257,2,192,2024-10-25,0.32745,0.09652,0.03239,-0.04939,0.02757,0.00460,5.490987665721573,100,60.0,30,1.2531155537736693,52.06999969482422
