Company,Sector,Accuracy,Prediction,Beta
AAPL,^SP500-45,0.9,AAPL will outperform ^SP500-45,1.239
ABBV,^SP500-35,0.9565217391304348,ABBV will outperform ^SP500-35,0.618
ABT,^SP500-35,1.0,ABT will outperform ^SP500-35,0.722
ACN,^SP500-45,0.8666666666666667,ACN will underperform ^SP500-45,1.239
ADBE,^SP500-45,0.9333333333333333,ADBE will outperform ^SP500-45,1.289
ADI,^SP500-45,0.8333333333333334,ADI will underperform ^SP500-45,1.071
ADP,^SP500-20,0.8666666666666667,ADP will outperform ^SP500-20,0.801
AIG,^SP500-40,0.9,AIG will underperform ^SP500-40,1.072
AMAT,^SP500-45,0.9666666666666667,AMAT will outperform ^SP500-45,1.54
AMD,^SP500-45,0.9666666666666667,AMD will outperform ^SP500-45,1.695
AMGN,^SP500-35,0.9,AMGN will outperform ^SP500-35,0.602
AMT,^SP500-60,0.8620689655172413,AMT will outperform ^SP500-60,0.832
AMZN,^SP500-2550,0.9333333333333333,AMZN will underperform ^SP500-2550,1.147
AVGO,^SP500-45,0.9666666666666667,AVGO will underperform ^SP500-45,1.184
AXP,^SP500-40,0.9333333333333333,AXP will outperform ^SP500-40,1.213
AZO,^SP500-2550,0.9333333333333333,AZO will outperform ^SP500-2550,0.707
BA,^SP500-20,0.9,BA will outperform ^SP500-20,1.569
BAC,^SP500-40,0.9,BAC will outperform ^SP500-40,1.338
BDX,^SP500-35,1.0,BDX will outperform ^SP500-35,0.447
BIIB,^SP500-35,1.0,BIIB will underperform ^SP500-35,-0.06
BKNG,^SP500-2550,0.9,BKNG will outperform ^SP500-2550,1.402
BMY,^SP500-35,0.9333333333333333,BMY will underperform ^SP500-35,0.46
BRK-B,^SP500-40,0.8666666666666667,BRK-B will outperform ^SP500-40,0.869
C,^SP500-40,1.0,C will underperform ^SP500-40,1.434
CAT,^SP500-20,0.9666666666666667,CAT will outperform ^SP500-20,1.093
CHTR,^SP500-50,0.9666666666666667,CHTR will outperform ^SP500-50,1.047
CMCSA,^SP500-50,0.8666666666666667,CMCSA will outperform ^SP500-50,1.012
CMG,^SP500-2550,1.0,CMG will underperform ^SP500-2550,1.255
COP,^GSPE,0.9,COP will outperform ^GSPE,1.223
COST,^SP500-3010,0.9666666666666667,COST will underperform ^SP500-3010,0.787
CRM,^SP500-45,0.8666666666666667,CRM will underperform ^SP500-45,1.3
CSCO,^SP500-45,0.8666666666666667,CSCO will outperform ^SP500-45,0.822
CSX,^SP500-20,0.8333333333333334,CSX will underperform ^SP500-20,1.189
CTSH,^SP500-45,0.9333333333333333,CTSH will underperform ^SP500-45,1.049
CVS,^SP500-35,0.9666666666666667,CVS will underperform ^SP500-35,0.532
CVX,^GSPE,1.0,CVX will outperform ^GSPE,1.079
DAL,^SP500-20,0.9333333333333333,DAL will underperform ^SP500-20,1.358
DD,^SP500-15,0.9,DD will outperform ^SP500-15,1.326
DE,^SP500-20,0.9,DE will outperform ^SP500-20,0.932
DG,^SP500-3010,0.9,DG will outperform ^SP500-3010,0.445
DHR,^SP500-35,0.8333333333333334,DHR will outperform ^SP500-35,0.862
DIS,^SP500-50,0.9333333333333333,DIS will outperform ^SP500-50,1.401
DLTR,^SP500-3010,0.9666666666666667,DLTR will outperform ^SP500-3010,0.864
EA,^SP500-50,0.9333333333333333,EA will underperform ^SP500-50,0.788
EBAY,^SP500-2550,0.9666666666666667,EBAY will underperform ^SP500-2550,1.316
ELV,^SP500-35,0.9333333333333333,ELV will outperform ^SP500-35,0.828
EOG,^GSPE,1.0,EOG will outperform ^GSPE,1.285
EXPE,^SP500-2550,0.8666666666666667,EXPE will underperform ^SP500-2550,1.795
F,^SP500-2550,1.0,F will underperform ^SP500-2550,1.631
FCX,^SP500-15,1.0,FCX will outperform ^SP500-15,1.895
FDX,^SP500-20,0.9666666666666667,FDX will outperform ^SP500-20,1.179
GE,^SP500-20,0.9333333333333333,GE will outperform ^SP500-20,1.181
GILD,^SP500-35,0.9666666666666667,GILD will outperform ^SP500-35,0.199
GM,^SP500-2550,0.9285714285714286,GM will underperform ^SP500-2550,1.432
GOOG,^SP500-50,0.9666666666666667,GOOG will outperform ^SP500-50,1.038
GOOGL,^SP500-50,1.0,GOOGL will outperform ^SP500-50,1.038
GS,^SP500-40,0.8333333333333334,GS will underperform ^SP500-40,1.35
HAL,^GSPE,0.9333333333333333,HAL will underperform ^GSPE,1.9
HD,^SP500-2550,0.8,HD will outperform ^SP500-2550,1.008
HON,^SP500-20,0.9,HON will outperform ^SP500-20,1.027
HUM,^SP500-35,0.9666666666666667,HUM will outperform ^SP500-35,0.503
IBM,^SP500-45,1.0,IBM will underperform ^SP500-45,0.697
INTC,^SP500-45,0.8666666666666667,INTC will underperform ^SP500-45,1.023
ISRG,^SP500-35,1.0,ISRG will underperform ^SP500-35,1.393
JNJ,^SP500-35,1.0,JNJ will underperform ^SP500-35,0.518
JPM,^SP500-40,0.9333333333333333,JPM will outperform ^SP500-40,1.102
KO,^SP500-3010,0.9,KO will underperform ^SP500-3010,0.608
